"","p.value","HR","Low 95%CI","High 95%CI"
"GJB2",0.000201888195093439,1.17682002430636,1.079993748002,1.28232720992182
"FOSL1",6.88503357365801e-06,1.2446253450241,1.13140770345669,1.36917244309329
"AQP4",0.00778609380128786,0.897672770992085,0.829067266619741,0.971955396413212
"FOLR1",0.0250003194536013,0.924400955343232,0.862993253612381,0.99017822290334
"NAPSA",0.000161511139579001,0.902360418496948,0.855459043090251,0.9518332075006
"LMO3",0.00362182792529854,0.861165490865038,0.778674413056112,0.952395494473993
"IRX2",0.000541570830978387,0.852127266723376,0.778269237669727,0.932994449154361
"SLC22A31",0.012559917693619,0.910454675851659,0.845797477362938,0.98005460995771
"PEBP4",0.00778666905431684,0.898665034903172,0.830658677340139,0.972239100112142
"MXRA5",0.0429260176464818,1.12873424075544,1.00386360635374,1.26913753839663
"MMP12",0.186782949230864,1.05397153243627,0.974846146565695,1.13951929245401
"SFTPD",0.00160674090513322,0.907728962155565,0.854741700487344,0.964001017226864
"FOXA2",0.0637725439432814,0.919229100973956,0.8409151484096,1.00483638768487
"IGFBP3",0.0322045463929297,1.12367463542767,1.00995185565822,1.25020284801655
"ACSL5",0.0403366611167288,0.890699293883248,0.797400858336944,0.994913943005673
"EGLN3",0.00262606627538667,1.16290928655962,1.05400640653376,1.28306431572272
"SLC7A5",0.00555366296974609,1.17962396655595,1.04962849425172,1.32571925218666
"GZMB",0.988203385904591,1.00086501862181,0.892478096374796,1.1224149809052
"PTPN13",0.505686805832897,0.961730573379629,0.857332350692832,1.07884147265136
"RNASE1",0.00177773543019477,0.861952126691323,0.785271061253102,0.946121034336996
"AQP3",0.0142959752929718,0.906631297978678,0.838247510553381,0.980593798521227
"MUC1",0.992510905429438,0.999488118418086,0.898143288897745,1.11226851128056
"GJB1",0.730074986754336,0.985455751580793,0.906759276599818,1.07098219272176
"CAPN8",0.441262714839132,0.963949929796096,0.877950274396709,1.05837368499304
"NKX2-1",1.98423715804518e-05,0.841462937391134,0.777317593898493,0.910901645042887
"C4BPA",0.000799705572787586,0.893927975522939,0.837213093491095,0.954484863692638
"CRYM",0.0398361545013828,0.903507810531815,0.820183223099428,0.995297563643329
"LRRC15",0.528673313775087,1.03549866112258,0.929011162549818,1.15419224268918
"GGT6",0.000642742852872473,0.826661067092912,0.741054747085839,0.922156591715395
"ATOH8",0.107318003777024,0.910458661257366,0.812224661513541,1.02057351018359
"C5orf38",0.002019488605943,0.83388671624066,0.743058344010381,0.935817572237525
"HOPX",0.0121401646883413,0.898856939677977,0.826991590765032,0.976967368265314
"IRX3",0.000335562780215285,0.819216581457621,0.734629342385913,0.913543427431684
"AHCYL2",0.277075324137481,0.941135882656855,0.843608955850318,1.04993758480375
"NDNF",0.00426126436181743,0.876599381332389,0.800898030925555,0.959456067664816
"CLDN18",0.0191314775055639,0.917542257647569,0.853810579803406,0.98603111097879
"SFTA2",0.0237371815087996,0.924684255464284,0.864011062014192,0.989618084646111
